Comment,Designator,Footprint,LCSC part Number
4.7k,R16,R_0805_2012Metric,C17673
MCP6002-xSN,U1,SOIC-8_3.9x4.9mm_P1.27mm,C7377
10,"R15,R14,R13,R12,R11,R10,R9,R8,R7",R_1206_3216Metric,C17903
100,R6,R_0805_2012Metric,C17408
1k,R5,R_0805_2012Metric,C17513
100k,"R4,R3,R2",R_0805_2012Metric,C17407
10k,R1,R_0805_2012Metric,C17414
D882,"Q3,Q2,Q1",SOT-89-3,C9634
47u,L2,C_0805_2012Metric,C14304
22u,L1,C_0805_2012Metric,C32375
1p,C9,C_0805_2012Metric,C14971
100n,C8,C_0805_2012Metric,C49678
10u,C7,C_0805_2012Metric,C15850
10p,C6,C_0805_2012Metric,C1785
47u,"C5,C4",C_1206_3216Metric,C96123
1u,"C3,C1",C_0805_2012Metric,C28323
